date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:47	5169/5169	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/jquery.fancybox-media.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/jquery.fancybox-media.js	(from http://localhost:8000/)
11:44:49	13694/13694	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/google-code-prettify/prettify.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/google-code-prettify/prettify.js	(from http://localhost:8000/)
11:44:52	14697/14697	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/portfolio/jquery.quicksand.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/portfolio/jquery.quicksand.js	(from http://localhost:8000/)
11:44:52	1216/1216	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/portfolio/setting.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/portfolio/setting.js	(from http://localhost:8000/)
11:44:55	16707/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:44:53%20GMT	http://localhost:8000/blog/category/projects/	/home/utsargo/websites/locosbd/localhost_8000/blog/category/projects/index.html	(from http://localhost:8000/)
11:45:04	41110/41110	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/jquery.flexslider.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/jquery.flexslider.js	(from http://localhost:8000/)
11:45:06	9515/9515	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/animate.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/animate.js	(from http://localhost:8000/)
11:45:09	8987/8987	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/custom.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/custom.js	(from http://localhost:8000/)
11:45:12	8746/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:45:10%20GMT	http://localhost:8000/blog/category/news/	/home/utsargo/websites/locosbd/localhost_8000/blog/category/news/index.html	(from http://localhost:8000/)
11:45:16	6497/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:45:14%20GMT	http://localhost:8000/contact-us/	/home/utsargo/websites/locosbd/localhost_8000/contact-us/index.html	(from http://localhost:8000/)
11:45:20	370837/370837	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Sep%202017%2006:12:32%20GMT	http://localhost:8000/static/img/slides/slide-1-farmers-led.JPG	/home/utsargo/websites/locosbd/localhost_8000/static/img/slides/slide-1-farmers-led.jpg	(from http://localhost:8000/)
11:45:33	451784/451784	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Sep%202017%2006:14:29%20GMT	http://localhost:8000/static/img/slides/slide-2-organic-pesticide.JPG	/home/utsargo/websites/locosbd/localhost_8000/static/img/slides/slide-2-organic-pesticide.jpg	(from http://localhost:8000/)
11:45:35	465302/465302	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Sep%202017%2007:37:57%20GMT	http://localhost:8000/static/img/slides/slide-4-medicinal-plants.JPG	/home/utsargo/websites/locosbd/localhost_8000/static/img/slides/slide-4-medicinal-plants.jpg	(from http://localhost:8000/)
11:45:56	133692/133692	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Oct%202017%2005:18:18%20GMT	http://localhost:8000/static/media/uploads/%e0%a6%ae%e0%a6%be%e0%a6%b0_%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%95%e0%a6%b2%e0%a7%8d%e0%a6%aa-2.jpg	/home/utsargo/websites/locosbd/localhost_8000/static/media/uploads/%e0%a6%ae%e0%a6%be%e0%a6%b0_%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%95%e0%a6%b2%e0%a7%8d%e0%a6%aa-2.jpg	(from http://localhost:8000/blog/category/projects/)
11:46:00	6335/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:45:59%20GMT	http://localhost:8000/developer/	/home/utsargo/websites/locosbd/localhost_8000/developer/index.html	(from http://localhost:8000/)
11:46:03	14542/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:01%20GMT	http://localhost:8000/blog/women-entrepreneurship-development/	/home/utsargo/websites/locosbd/localhost_8000/blog/women-entrepreneurship-development/index.html	(from http://localhost:8000/blog/category/projects/)
11:46:08	16404/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:05%20GMT	http://localhost:8000/blog/author/utsargo/	/home/utsargo/websites/locosbd/localhost_8000/blog/author/utsargo/index.html	(from http://localhost:8000/blog/category/projects/)
